<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
02/07/22;07:01:00;1562.6000000;1563.6000000;1550.0000000;1553.4000000;3644
02/07/22;07:02:00;1550.8000000;1553.6000000;1550.8000000;1553.4000000;1696
02/07/22;07:03:00;1555.6000000;1556.0000000;1553.8000000;1556.0000000;198
02/07/22;07:04:00;1556.0000000;1556.0000000;1554.4000000;1554.4000000;24
02/07/22;07:05:00;1556.0000000;1556.0000000;1554.4000000;1554.4000000;58
02/07/22;07:06:00;1555.8000000;1555.8000000;1554.2000000;1554.4000000;1312
02/07/22;07:07:00;1554.2000000;1555.0000000;1554.0000000;1554.0000000;133
02/07/22;07:08:00;1554.0000000;1555.4000000;1554.0000000;1554.2000000;28
02/07/22;07:09:00;1554.2000000;1556.0000000;1554.0000000;1555.0000000;176
02/07/22;07:10:00;1555.0000000;1555.0000000;1553.8000000;1553.8000000;423
02/07/22;07:11:00;1553.8000000;1553.8000000;1553.0000000;1553.6000000;408
02/07/22;07:12:00;1553.4000000;1554.6000000;1553.2000000;1554.2000000;139
02/07/22;07:13:00;1554.2000000;1554.2000000;1553.0000000;1553.6000000;235
02/07/22;07:14:00;1553.2000000;1554.0000000;1552.2000000;1553.6000000;552
02/07/22;07:15:00;1553.2000000;1553.6000000;1553.2000000;1553.6000000;60
02/07/22;07:16:00;1553.6000000;1554.8000000;1553.6000000;1554.6000000;133
02/07/22;07:17:00;1554.2000000;1555.0000000;1553.8000000;1554.4000000;36
02/07/22;07:18:00;1553.8000000;1554.4000000;1553.8000000;1554.4000000;4
02/07/22;07:19:00;1554.4000000;1556.0000000;1554.4000000;1555.0000000;1148
02/07/22;07:20:00;1555.2000000;1556.0000000;1553.8000000;1553.8000000;1602
02/07/22;07:21:00;1555.4000000;1556.8000000;1555.2000000;1556.8000000;1709
02/07/22;07:22:00;1556.8000000;1557.8000000;1556.8000000;1557.8000000;47
02/07/22;07:23:00;1556.8000000;1558.8000000;1555.2000000;1555.2000000;900
02/07/22;07:24:00;1556.4000000;1557.0000000;1556.4000000;1557.0000000;110
02/07/22;07:25:00;1556.4000000;1556.4000000;1555.6000000;1556.0000000;46
02/07/22;07:26:00;1556.4000000;1556.8000000;1556.2000000;1556.6000000;22
02/07/22;07:27:00;1555.8000000;1555.8000000;1554.2000000;1554.2000000;704
02/07/22;07:28:00;1555.0000000;1555.4000000;1554.0000000;1554.0000000;28
02/07/22;07:29:00;1554.4000000;1555.2000000;1554.0000000;1555.0000000;49
02/07/22;07:30:00;1555.6000000;1559.4000000;1555.6000000;1559.4000000;6307
02/07/22;07:31:00;1559.2000000;1559.4000000;1557.6000000;1557.6000000;466
02/07/22;07:32:00;1557.8000000;1558.0000000;1556.0000000;1556.2000000;318
02/07/22;07:33:00;1556.6000000;1557.2000000;1555.2000000;1557.2000000;490
02/07/22;07:34:00;1557.4000000;1557.4000000;1555.2000000;1555.2000000;155
02/07/22;07:35:00;1555.2000000;1557.4000000;1554.6000000;1557.4000000;679
02/07/22;07:36:00;1557.0000000;1557.4000000;1556.0000000;1556.8000000;18
02/07/22;07:37:00;1557.0000000;1557.6000000;1557.0000000;1557.6000000;158
02/07/22;07:38:00;1557.6000000;1559.0000000;1557.6000000;1558.4000000;34
02/07/22;07:39:00;1558.0000000;1558.6000000;1558.0000000;1558.0000000;67
02/07/22;07:40:00;1558.2000000;1558.2000000;1556.4000000;1556.8000000;190
02/07/22;07:41:00;1556.6000000;1557.4000000;1555.6000000;1555.8000000;117
02/07/22;07:42:00;1556.6000000;1556.6000000;1555.6000000;1556.6000000;150
02/07/22;07:43:00;1556.2000000;1556.6000000;1555.2000000;1556.6000000;480
02/07/22;07:44:00;1556.0000000;1556.4000000;1555.2000000;1555.4000000;36
02/07/22;07:45:00;1556.0000000;1556.6000000;1555.4000000;1556.4000000;103
02/07/22;07:46:00;1556.4000000;1557.4000000;1556.4000000;1557.4000000;4
02/07/22;07:47:00;1557.4000000;1557.8000000;1556.4000000;1557.8000000;191
02/07/22;07:48:00;1557.6000000;1557.6000000;1557.6000000;1557.6000000;2
02/07/22;07:49:00;1557.6000000;1557.8000000;1556.6000000;1557.8000000;31
02/07/22;07:50:00;1557.8000000;1557.8000000;1556.6000000;1557.6000000;16
02/07/22;07:51:00;1557.6000000;1557.6000000;1557.6000000;1557.6000000;2
02/07/22;07:52:00;1557.0000000;1557.0000000;1557.0000000;1557.0000000;24
02/07/22;07:53:00;1557.0000000;1557.0000000;1556.6000000;1556.6000000;6
02/07/22;07:54:00;1557.0000000;1557.0000000;1557.0000000;1557.0000000;25
02/07/22;07:55:00;1557.0000000;1557.0000000;1556.0000000;1556.0000000;209
